(240,1133)
(473,1125)
(1005,1140)
(1350,1125)
(1245,1560)
(1817,1560)
(1590,2116)
(1470,2086)
(106,239)
(1274,1230)
(1304,1231)
(1349,1575)
(1491,1755)
(2130,929)
(944,1755)
(945,1484)
(1049,1561)
(1169,1200)
(1260,1741)
(1273,1162)
(1304,1681)
(1572,765)
(1890,1559)
(1919,810)
(1920,570)
(1937,750)
(2447,749)
(1064,2383)
(1108,974)
(1110,1020)
(1229,1709)
(1334,1462)
(1364,1425)
(1409,1244)
(1981,2355)
(2132,2069)
(2715,1723)
(1124,704)
(1140,1726)
(1199,1199)
(1214,1619)
(1229,1418)
(1349,1364)
(1365,1395)
(1395,1410)
(1438,1792)
(1482,1576)
(1573,1126)
(1625,936)
(1753,631)
(1858,584)
(2565,1103)
(2655,1813)
(2792,1815)
(1199,1680)
(1431,1756)
(1920,1079)
(1936,2444)
(1997,930)
(2087,808)
(2303,2070)
(1004,728)
(1020,975)
(1199,1763)
(1259,766)
(1289,795)
(1318,1058)
(1363,787)
(1425,1200)
(1438,1065)
(1514,1861)
(1574,1905)
(1589,1725)
(1801,1470)
(1817,643)
(1846,1651)
(1875,1096)
(1950,1409)
(2071,2265)
(2386,1859)
(2415,824)
(2432,1109)
(2490,1545)
(2581,1562)
(2985,1291)
(898,2385)
(1109,1681)
(1152,1568)
(1199,974)
(1227,584)
(1259,1417)
(1273,1290)
(1273,1568)
(1319,1363)
(1348,727)
(1423,720)
(1424,908)
(1491,1087)
(1530,2033)
(1574,734)
(1647,165)
(1694,1574)
(2011,2175)
(2086,1980)
(2228,1920)
(2387,2398)
(2551,1561)
(2598,1653)
(2730,1153)
(2909,1605)
(853,209)
(1214,1230)
(1244,1246)
(1258,704)
(1273,961)
(1303,1403)
(1347,1216)
(1437,210)
(1437,855)
(1468,210)
(1619,1034)
(1785,643)
(1844,629)
(1859,382)
(1890,644)
(1890,2295)
(1950,343)
(2147,1200)
(2295,735)
(2333,2077)
(2430,1567)
(2446,1388)
(2504,742)
(2520,1559)
(2620,1575)
(2699,1290)
(2821,1665)
(2910,1637)
(3104,1303)
(571,1628)
(733,1696)
(793,749)
(1034,1740)
(1064,2416)
(1169,2385)
(1349,704)
(1380,1367)
(1483,1403)
(1499,1350)
(1521,1755)
(1672,1913)
(1695,615)
(1890,570)
(1903,147)
(1905,315)
(2118,1200)
(2447,2083)
(2521,1935)
(2760,1635)
(2789,1110)
(2818,779)
(757,1073)
(944,2289)
(966,1433)
(1003,210)
(1153,1448)
(1236,967)
(1304,764)
(1367,2564)
(1439,2583)
(1559,615)
(1635,779)
(1665,681)
(1725,630)
(1725,1049)
(1831,1094)
(1890,1393)
(1934,590)
(1936,2191)
(2160,1515)
(2370,1126)
(2415,1755)
(2476,1831)
(2805,840)
(734,1843)
(736,329)
(884,959)
(901,1755)
(923,959)
(1032,30)
(1213,787)
(1348,390)
(1349,766)
(1349,2204)
(1363,193)
(1469,1928)
(1559,2564)
(1620,163)
(1724,1230)
(1725,498)
(1769,1289)
(1814,493)
(1903,1034)
(2144,1126)
(2500,997)
(2610,1116)
(2663,1657)
(255,961)
(449,809)
(541,645)
(571,794)
(599,645)
(740,1087)
(831,1809)
(960,734)
(1050,921)
(1123,1574)
(1183,779)
(1288,1131)
(1499,1514)
(1514,778)
(1619,298)
(1672,2018)
(1681,1740)
(1694,1095)
(1695,1875)
(1942,302)
(1946,179)
(1960,713)
(2010,1417)
(2115,2267)
(2507,1447)
(2521,1003)
(2611,1796)
(2613,1696)
(2693,1731)
(225,1999)
(358,119)
(433,899)
(465,1321)
(525,1197)
(527,1320)
(553,735)
(659,2086)
(735,1784)
(763,1605)
(1079,855)
(1198,417)
(1243,1169)
(1274,1470)
(1333,2565)
(1393,765)
(1394,1200)
(1469,2581)
(1558,120)
(1724,285)
(1769,1740)
(2117,1949)
(2176,1440)
(2341,1245)
(2468,1410)
(2610,1425)
(2697,741)
(2997,779)
(3149,1096)
(300,1305)
(313,538)
(314,1484)
(433,1681)
(479,464)
(494,1995)
(508,802)
(548,1125)
(791,2548)
(822,2616)
(868,2400)
(870,1576)
(916,2585)
(929,734)
(988,2183)
(1018,585)
(1032,712)
(1109,1831)
(1147,1409)
(1318,704)
(1334,2386)
(1394,855)
(1410,1380)
(1588,411)
(1663,1103)
(1785,584)
(1889,1019)
(2100,1273)
(2267,1388)
(2686,1619)
(2717,1618)
(194,226)
(225,1287)
(734,1199)
(821,2549)
(838,1575)
(1063,269)
(1093,195)
(1093,704)
(1184,2355)
(1258,855)
(1392,989)
(1395,374)
(1409,704)
(1424,2416)
(1467,1276)
(1499,2295)
(1590,344)
(1649,734)
(1768,1246)
(2025,930)
(2161,1274)
(2174,1530)
(2304,2003)
(2371,1291)
(2461,855)
(2549,749)
(2552,1740)
(2700,1170)
(328,1996)
(329,508)
(554,2070)
(577,726)
(695,1485)
(762,1290)
(778,899)
(897,855)
(958,43)
(1011,1441)
(1063,2302)
(1213,2497)
(1229,2123)
(1558,1050)
(1582,1026)
(1611,1478)
(1663,780)
(1693,810)
(1694,907)
(1724,1463)
(2072,2683)
(2132,1305)
(2237,1889)
(2251,1275)
(2341,2424)
(2596,1740)
(2726,1657)
(2868,2010)
(3077,1846)
(3179,2591)
(254,535)
(256,2194)
(287,1284)
(372,2549)
(403,2521)
(418,670)
(465,2417)
(569,1920)
(707,1530)
(766,2550)
(771,1679)
(870,1432)
(881,2549)
(1019,1229)
(1019,2182)
(1049,1170)
(1080,1019)
(1094,1261)
(1138,1679)
(1317,2206)
(1349,2807)
(1581,1088)
(1664,1831)
(1755,300)
(1768,1049)
(1919,1469)
(1981,2293)
(2042,1306)
(2191,2100)
(2251,2085)
(2544,1844)
(2914,1469)
(2939,1470)
(2939,1515)
(3184,2549)
(208,960)
(211,1396)
(327,58)
(418,1635)
(509,675)
(525,960)
(629,1755)
(642,2552)
(673,2554)
(845,1545)
(867,2746)
(991,1440)
(1020,1575)
(1065,1183)
(1093,2670)
(1115,1493)
(1379,704)
(1513,209)
(1769,1470)
(2014,569)
(2065,2529)
(2203,45)
(2311,1560)
(2536,2085)
(2580,1380)
(2581,1433)
(2612,1372)
(2730,1004)
(2759,1110)
(2820,935)
(2958,2686)
(3179,2636)
(3299,960)
(3389,1936)
(389,976)
(389,2399)
(403,1575)
(461,2551)
(494,960)
(550,2551)
(619,2551)
(742,1914)
(1058,1252)
(1184,2116)
(1197,254)
(1363,2116)
(1446,1366)
(1468,705)
(1528,525)
(1544,689)
(1604,1186)
(1619,1216)
(1633,600)
(1755,1094)
(1755,2250)
(1860,2671)
(1891,2384)
(2160,1469)
(2221,1425)
(2266,2587)
(2415,32)
(2417,1913)
(2642,1290)
(2656,1605)
(2700,1021)
(2702,1125)
(2716,2595)
(2851,2386)
(2854,742)
(2882,2190)
(240,1484)
(528,2551)
(556,1981)
(569,1741)
(585,959)
(614,199)
(672,2585)
(727,1890)
(732,2549)
(761,2584)
(771,1560)
(795,2584)
(900,1439)
(958,2497)
(975,1476)
(1139,2596)
(1151,2498)
(1258,614)
(1274,2272)
(1347,854)
(1348,2776)
(1439,704)
(1484,764)
(1588,615)
(1918,27)
(1943,2116)
(2491,2128)
(2659,2686)
(2731,1935)
(2844,2693)
(2851,2445)
(3078,511)
(524,2085)
(539,1546)
(554,960)
(597,298)
(658,1936)
(734,2041)
(778,1835)
(808,1544)
(825,2585)
(867,1545)
(869,1177)
(870,1856)
(1076,2731)
(1078,464)
(1288,615)
(1320,1305)
(1364,88)
(1499,2553)
(1619,1274)
(1635,1501)
(1769,2686)
(1950,1199)
(3172,1636)
(3172,1888)
(3254,1633)
(242,1066)
(329,2176)
(449,570)
(614,1276)
(614,1627)
(614,2585)
(641,2584)
(661,2376)
(701,2548)
(705,2585)
(769,463)
(794,1462)
(840,1177)
(883,2587)
(1153,1238)
(1438,1500)
(1453,989)
(1528,240)
(1602,2671)
(1726,743)
(1770,2743)
(1873,2715)
(1904,2085)
(1921,1395)
(2014,389)
(2039,615)
(2236,823)
(2274,2393)
(2505,2025)
(2536,1440)
(2595,2011)
(2643,1528)
(2909,899)
(2912,1061)
(2926,2596)
(2940,1155)
